iter	Passed	Remaining
1405	89362	228426
1406	89428	228369
1407	89490	228302
1408	89558	228250
1409	89625	228194
1410	89693	228144
1411	89759	228085
1412	89819	228011
1413	89879	227940
1414	89952	227900
1415	90018	227843
1416	90080	227776
1417	90144	227714
1418	90210	227655
1419	90278	227603
1420	90350	227561
1421	90423	227520
1422	90492	227471
1423	90563	227425
1424	90631	227373
1425	90697	227315
1426	90770	227277
1427	90853	227259
1428	90924	227214
1429	90994	227167
1430	91061	227112
1431	91125	227050
1432	91190	226988
1433	91259	226939
1434	91328	226889
1435	91397	226838
1436	91467	226791
1437	91538	226746
1438	91614	226713
1439	91691	226680
1440	91775	226667
1441	91848	226626
1442	91915	226573
1443	91980	226512
1444	92049	226461
1445	92119	226412
1446	92181	226343
1447	92243	226276
1448	92311	226224
1449	92378	226166
1450	92443	226107
1451	92517	226068
1452	92597	226044
1453	92677	226021
1454	92750	225978
1455	92817	225923
1456	92879	225856
1457	92950	225809
1458	93026	225776
1459	93096	225726
1460	93165	225676
1461	93244	225648
1462	93321	225618
1463	93383	225548
1464	93438	225464
1465	93505	225408
1466	93574	225357
1467	93635	225286
1468	93706	225239
1469	93777	225193
1470	93849	225148
1471	93914	225087
1472	93983	225037
1473	94059	225003
1474	94128	224950
1475	94200	224905
1476	94275	224869
1477	94346	224822
1478	94412	224764
1479	94477	224703
1480	94546	224651
1481	94610	224587
1482	94675	224527
1483	94751	224491
1484	94822	224445
1485	94886	224381
1486	94961	224344
1487	95030	224292
1488	95098	224238
1489	95167	224187
1490	95238	224139
1491	95299	224068
1492	95361	224001
1493	95440	223973
1494	95506	223913
1495	95582	223878
1496	95654	223833
1497	95728	223793
1498	95811	223772
1499	95886	223734
1500	95958	223690
1501	96033	223651
1502	96105	223606
1503	96183	223576
1504	96257	223535
1505	96339	223512
1506	96413	223471
1507	96490	223439
1508	96569	223408
1509	96643	223368
1510	96713	223318
1511	96818	223347
1512	96901	223328
1513	96998	223339
1514	97085	223329
1515	97213	223411
1516	97313	223428
1517	97401	223421
1518	97480	223389
1519	97568	223379
1520	97648	223352
1521	97725	223317
1522	97795	223265
1523	97881	223251
1524	97964	223230
1525	98050	223216
1526	98123	223171
1527	98207	223151
1528	98294	223139
1529	98370	223102
1530	98442	223055
1531	98508	222994
1532	98572	222929
1533	98643	222880
1534	98721	222847
1535	98788	222789
1536	98852	222723
1537	98906	222635
1538	98942	222509
1539	99010	222452
1540	99070	222379
1541	99135	222315
1542	99201	222255
1543	99255	222166
1544	99314	222091
1545	99393	222059
1546	99454	221987
1547	99524	221936
1548	99595	221886
1549	99656	221816
1550	99723	221756
1551	99800	221720
1552	99869	221668
1553	99945	221628
1554	100014	221575
1555	100086	221527
1556	100148	221459
1557	100216	221401
1558	100285	221349
1559	100354	221294
1560	100426	221247
1561	100500	221204
1562	100582	221177
1563	100653	221128
1564	100721	221072
1565	100801	221043
1566	100881	221013
1567	100961	220982
1568	101043	220955
1569	101126	220931
1570	101209	220907
1571	101286	220872
1572	101365	220838
1573	101432	220779
1574	101510	220745
1575	101584	220701
1576	101657	220656
1577	101740	220632
1578	101819	220599
1579	101905	220580
1580	101979	220535
1581	102060	220507
1582	102125	220444
1583	102204	220411
1584	102280	220370
1585	102344	220304
1586	102420	220265
1587	102503	220240
1588	102575	220191
1589	102653	220156
1590	102731	220120
1591	102810	220086
1592	102887	220048
1593	102954	219989
1594	103019	219925
1595	103088	219869
1596	103166	219834
1597	103258	219827
1598	103342	219805
1599	103416	219760
1600	103485	219704
1601	103561	219665
1602	103633	219615
1603	103704	219563
1604	103776	219515
1605	103838	219444
1606	103907	219388
1607	103981	219343
1608	104041	219270
1609	104111	219216
1610	104180	219160
1611	104253	219112
1612	104324	219061
1613	104394	219009
1614	104466	218959
1615	104528	218889
1616	104599	218838
1617	104672	218789
1618	104741	218734
1619	104812	218682
1620	104890	218645
1621	104960	218593
1622	105035	218549
1623	105107	218498
1624	105178	218446
1625	105244	218386
1626	105310	218323
1627	105375	218258
1628	105441	218196
1629	105506	218132
1630	105569	218065
1631	105632	217997
1632	105693	217923
1633	105763	217869
1634	105832	217814
1635	105898	217752
1636	105962	217685
1637	106025	217616
1638	106101	217576
1639	106169	217517
1640	106241	217468
1641	106310	217412
1642	106378	217353
1643	106447	217297
1644	106525	217260
1645	106601	217219
1646	106670	217162
1647	106732	217091
1648	106796	217024
1649	106853	216944
1650	106918	216881
1651	106981	216811
1652	107042	216739
1653	107097	216655
1654	107162	216590
1655	107225	216522
1656	107287	216453
1657	107355	216393
1658	107415	216320
1659	107480	216255
